TCI,HydroGp,Transect,Species,Year,time,mTCI,Extent,Density
11,Group 1,15,BB,2018,1.5,0.6375,0.85,0.75
8,Group 1,15,BB,2015,-1.5,0.246,0.6,0.41
8,Group 1,15,BB,2016,-0.5,0.246,0.6,0.41
10,Group 1,15,BB,2018,1.5,0.64,0.8,0.8
9,Group 1,15,BB,2015,-1.5,0.45,0.75,0.6
9,Group 1,15,BB,2016,-0.5,0.45,0.75,0.6
11,Group 1,15,BB,2018,1.5,0.5525,0.65,0.85
10,Group 1,15,BB,2015,-1.5,0.486,0.81,0.6
10,Group 1,15,BB,2016,-0.5,0.486,0.81,0.6
11,Group 1,15,BB,2018,1.5,0.675,0.9,0.75
8,Group 1,15,BB,2015,-1.5,0.3,0.6,0.5
8,Group 1,15,BB,2016,-0.5,0.3,0.6,0.5
11,Group 1,15,BB,2018,1.5,0.68,0.85,0.8
10,Group 1,15,BB,2015,-1.5,0.486,0.81,0.6
10,Group 1,15,BB,2016,-0.5,0.486,0.81,0.6
12,Group 1,15,BB,2018,1.5,0.7225,0.85,0.85
9,Group 1,15,BB,2015,-1.5,0.3075,0.75,0.41
9,Group 1,15,BB,2016,-0.5,0.3075,0.75,0.41
11,Group 1,15,BB,2018,1.5,0.68,0.85,0.8
4,Group 1,15,BB,2015,-1.5,0.04,0.2,0.2
4,Group 1,15,BB,2016,-0.5,0.04,0.2,0.2
6,Group 1,15,BB,2015,-1.5,0.12,0.4,0.3
6,Group 1,15,BB,2016,-0.5,0.12,0.4,0.3
8,Group 1,15,BB,2018,1.5,0.21,0.3,0.7
7,Group 1,15,BB,2015,-1.5,0.2,0.5,0.4
7,Group 1,15,BB,2016,-0.5,0.2,0.5,0.4
10,Group 1,15,BB,2018,1.5,0.6,0.75,0.8
8,Group 1,15,BB,2015,-1.5,0.162,0.81,0.2
8,Group 1,15,BB,2016,-0.5,0.162,0.81,0.2
11,Group 1,15,BB,2018,1.5,0.6375,0.85,0.75
10,Group 1,15,BB,2015,-1.5,0.405,0.81,0.5
10,Group 1,15,BB,2016,-0.5,0.405,0.81,0.5
10,Group 1,15,BB,2018,1.5,0.6,0.8,0.75
10,Group 1,15,BB,2015,-1.5,0.405,0.81,0.5
10,Group 1,15,BB,2016,-0.5,0.405,0.81,0.5
10,Group 1,15,BB,2018,1.5,0.6,0.8,0.75
5,Group 1,15,BB,2015,-1.5,0.06,0.1,0.6
5,Group 1,15,BB,2016,-0.5,0.06,0.1,0.6
9,Group 1,15,BB,2015,-1.5,0.42,0.7,0.6
9,Group 1,15,BB,2016,-0.5,0.42,0.7,0.6
10,Group 1,15,BB,2018,1.5,0.64,0.8,0.8
4,Group 1,15,BB,2015,-1.5,0.03,0.3,0.1
4,Group 1,15,BB,2016,-0.5,0.03,0.3,0.1
9,Group 1,15,BB,2018,1.5,0.375,0.5,0.75
7,Group 1,15,BB,2015,-1.5,0.2,0.5,0.4
7,Group 1,15,BB,2016,-0.5,0.2,0.5,0.4
11,Group 1,15,BB,2018,1.5,0.6375,0.85,0.75
7,Group 1,15,BB,2015,-1.5,0.15,0.75,0.2
7,Group 1,15,BB,2016,-0.5,0.15,0.75,0.2
11,Group 1,15,BB,2018,1.5,0.6375,0.85,0.75
6,Group 1,15,BB,2015,-1.5,0.12,0.6,0.2
6,Group 1,15,BB,2016,-0.5,0.12,0.6,0.2
10,Group 1,15,BB,2018,1.5,0.6,0.8,0.75
6,Group 1,15,BB,2015,-1.5,0.12,0.6,0.2
6,Group 1,15,BB,2016,-0.5,0.12,0.6,0.2
10,Group 1,15,BB,2018,1.5,0.49,0.7,0.7
9,Group 1,15,BB,2015,-1.5,0.35,0.7,0.5
9,Group 1,15,BB,2016,-0.5,0.35,0.7,0.5
11,Group 1,15,BB,2018,1.5,0.6375,0.85,0.75
5,Group 1,15,BB,2015,-1.5,0.05,0.5,0.1
5,Group 1,15,BB,2016,-0.5,0.05,0.5,0.1
10,Group 1,15,BB,2018,1.5,0.525,0.7,0.75
6,Group 1,15,BB,2015,-1.5,0.12,0.6,0.2
6,Group 1,15,BB,2016,-0.5,0.12,0.6,0.2
10,Group 1,15,BB,2018,1.5,0.6,0.8,0.75
10,Group 1,15,BB,2015,-1.5,0.3321,0.81,0.41
10,Group 1,15,BB,2016,-0.5,0.3321,0.81,0.41
12,Group 1,15,BB,2018,1.5,0.7125,0.95,0.75
10,Group 1,15,BB,2015,-1.5,0.3321,0.81,0.41
10,Group 1,15,BB,2016,-0.5,0.3321,0.81,0.41
11,Group 1,15,BB,2018,1.5,0.675,0.9,0.75
6,Group 1,15,BB,2015,-1.5,0.16,0.4,0.4
6,Group 1,15,BB,2016,-0.5,0.16,0.4,0.4
10,Group 1,15,BB,2018,1.5,0.6,0.8,0.75
9,Group 3,7,BB,2015,-1.5,0.42,0.7,0.6
9,Group 3,7,BB,2016,-0.5,0.42,0.7,0.6
11,Group 3,7,BB,2018,1.5,0.68,0.85,0.8
9,Group 3,7,BB,2015,-1.5,0.42,0.7,0.6
9,Group 3,7,BB,2016,-0.5,0.42,0.7,0.6
11,Group 3,7,BB,2018,1.5,0.68,0.85,0.8
7,Group 3,7,BB,2015,-1.5,0.24,0.6,0.4
7,Group 3,7,BB,2016,-0.5,0.24,0.6,0.4
10,Group 3,7,BB,2018,1.5,0.6,0.75,0.8
7,Group 3,7,BB,2015,-1.5,0.24,0.6,0.4
6,Group 3,7,BB,2015,-1.5,0.12,0.4,0.3
6,Group 3,7,BB,2016,-0.5,0.12,0.4,0.3
10,Group 3,7,BB,2018,1.5,0.64,0.8,0.8
7,Group 3,7,BB,2015,-1.5,0.2,0.5,0.4
7,Group 3,7,BB,2016,-0.5,0.2,0.5,0.4
10,Group 3,7,BB,2018,1.5,0.525,0.7,0.75
7,Group 3,7,BB,2015,-1.5,0.24,0.6,0.4
7,Group 3,7,BB,2016,-0.5,0.24,0.6,0.4
10,Group 3,7,BB,2018,1.5,0.64,0.8,0.8
7,Group 3,7,BB,2015,-1.5,0.24,0.6,0.4
7,Group 3,7,BB,2016,-0.5,0.24,0.6,0.4
11,Group 3,7,BB,2018,1.5,0.68,0.85,0.8
8,Group 3,7,BB,2015,-1.5,0.36,0.6,0.6
8,Group 3,7,BB,2016,-0.5,0.36,0.6,0.6
11,Group 3,7,BB,2018,1.5,0.6375,0.75,0.85
9,Group 3,7,BB,2015,-1.5,0.45,0.75,0.6
9,Group 3,7,BB,2016,-0.5,0.45,0.75,0.6
11,Group 3,7,BB,2018,1.5,0.6375,0.85,0.75
8,Group 3,7,BB,2015,-1.5,0.36,0.6,0.6
8,Group 3,7,BB,2016,-0.5,0.36,0.6,0.6
10,Group 3,7,BB,2018,1.5,0.6,0.75,0.8
8,Group 3,7,BB,2015,-1.5,0.25,0.5,0.5
8,Group 3,7,BB,2016,-0.5,0.25,0.5,0.5
11,Group 3,7,BB,2018,1.5,0.68,0.85,0.8
10,Group 3,7,BB,2015,-1.5,0.5625,0.75,0.75
10,Group 3,7,BB,2016,-0.5,0.5625,0.75,0.75
13,Group 3,7,BB,2018,1.5,0.8075,0.95,0.85
12,Group 3,7,BB,2015,-1.5,0.6561,0.81,0.81
12,Group 3,7,BB,2016,-0.5,0.6561,0.81,0.81
11,Group 3,7,BB,2018,1.5,0.68,0.85,0.8
14,Group 3,7,BB,2015,-1.5,1,1,1
14,Group 3,7,BB,2016,-0.5,1,1,1
12,Group 3,7,BB,2018,1.5,0.76,0.95,0.8
8,Group 3,7,BB,2015,-1.5,0.28,0.7,0.4
8,Group 3,7,BB,2016,-0.5,0.28,0.7,0.4
10,Group 3,7,BB,2018,1.5,0.6,0.75,0.8
7,Group 3,7,BB,2015,-1.5,0.24,0.6,0.4
7,Group 3,7,BB,2016,-0.5,0.24,0.6,0.4
12,Group 3,7,BB,2018,1.5,0.7225,0.85,0.85
9,Group 3,7,BB,2015,-1.5,0.42,0.7,0.6
9,Group 3,7,BB,2016,-0.5,0.42,0.7,0.6
12,Group 3,7,BB,2018,1.5,0.7225,0.85,0.85
8,Group 3,7,BB,2015,-1.5,0.28,0.7,0.4
8,Group 3,7,BB,2016,-0.5,0.28,0.7,0.4
10,Group 3,7,BB,2018,1.5,0.5625,0.75,0.75
6,Group 3,7,BB,2015,-1.5,0.16,0.4,0.4
6,Group 3,7,BB,2016,-0.5,0.16,0.4,0.4
9,Group 3,7,BB,2018,1.5,0.35,0.5,0.7
8,Group 3,7,BB,2015,-1.5,0.36,0.6,0.6
8,Group 3,7,BB,2016,-0.5,0.36,0.6,0.6
12,Group 3,7,BB,2018,1.5,0.7225,0.85,0.85
13,Group 3,7,BB,2015,-1.5,0.7371,0.91,0.81
13,Group 3,7,BB,2016,-0.5,0.7371,0.91,0.81
13,Group 3,7,BB,2018,1.5,0.8075,0.95,0.85
12,Group 3,7,BB,2015,-1.5,0.637,0.91,0.7
12,Group 3,7,BB,2016,-0.5,0.637,0.91,0.7
12,Group 3,7,BB,2018,1.5,0.765,0.9,0.85
7,Group 3,7,BB,2015,-1.5,0.175,0.35,0.5
7,Group 3,7,BB,2016,-0.5,0.175,0.35,0.5
9,Group 3,7,BB,2018,1.5,0.4,0.5,0.8
8,Group 3,21,RRG,2015,-1.5,0.28,0.7,0.4
8,Group 3,21,RRG,2016,-0.5,0.28,0.7,0.4
11,Group 3,21,RRG,2018,1.5,0.6375,0.85,0.75
5,Group 3,21,RRG,2015,-1.5,0.06,0.3,0.2
5,Group 3,21,RRG,2016,-0.5,0.06,0.3,0.2
9,Group 3,21,RRG,2018,1.5,0.4125,0.55,0.75
5,Group 3,21,RRG,2015,-1.5,0.06,0.3,0.2
5,Group 3,21,RRG,2016,-0.5,0.06,0.3,0.2
9,Group 3,21,RRG,2018,1.5,0.35,0.5,0.7
9,Group 3,21,RRG,2015,-1.5,0.35,0.7,0.5
9,Group 3,21,RRG,2016,-0.5,0.35,0.7,0.5
11,Group 3,21,RRG,2018,1.5,0.6375,0.85,0.75
8,Group 3,21,RRG,2015,-1.5,0.28,0.7,0.4
8,Group 3,21,RRG,2016,-0.5,0.28,0.7,0.4
10,Group 3,21,RRG,2018,1.5,0.455,0.65,0.7
5,Group 3,21,RRG,2015,-1.5,0.06,0.3,0.2
5,Group 3,21,RRG,2016,-0.5,0.06,0.3,0.2
10,Group 3,21,RRG,2018,1.5,0.64,0.8,0.8
7,Group 3,21,RRG,2015,-1.5,0.14,0.7,0.2
7,Group 3,21,RRG,2016,-0.5,0.14,0.7,0.2
11,Group 3,21,RRG,2018,1.5,0.595,0.85,0.7
7,Group 3,21,RRG,2015,-1.5,0.14,0.7,0.2
7,Group 3,21,RRG,2016,-0.5,0.14,0.7,0.2
11,Group 3,21,RRG,2018,1.5,0.585,0.9,0.65
7,Group 3,21,RRG,2015,-1.5,0.14,0.7,0.2
7,Group 3,21,RRG,2016,-0.5,0.14,0.7,0.2
11,Group 3,21,RRG,2018,1.5,0.72,0.9,0.8
9,Group 3,21,RRG,2015,-1.5,0.35,0.7,0.5
9,Group 3,21,RRG,2016,-0.5,0.35,0.7,0.5
12,Group 3,21,RRG,2018,1.5,0.76,0.95,0.8
9,Group 3,21,RRG,2015,-1.5,0.35,0.7,0.5
9,Group 3,21,RRG,2016,-0.5,0.35,0.7,0.5
11,Group 3,21,RRG,2018,1.5,0.72,0.9,0.8
7,Group 3,21,RRG,2015,-1.5,0.18,0.6,0.3
7,Group 3,21,RRG,2016,-0.5,0.18,0.6,0.3
10,Group 3,21,RRG,2018,1.5,0.525,0.7,0.75
7,Group 3,21,RRG,2015,-1.5,0.15,0.75,0.2
7,Group 3,21,RRG,2016,-0.5,0.15,0.75,0.2
11,Group 3,21,RRG,2018,1.5,0.675,0.9,0.75
11,Group 3,21,RRG,2015,-1.5,0.6075,0.75,0.81
11,Group 3,21,RRG,2016,-0.5,0.6075,0.75,0.81
11,Group 3,21,RRG,2018,1.5,0.63,0.9,0.7
6,Group 3,21,RRG,2015,-1.5,0.1,0.5,0.2
6,Group 3,21,RRG,2016,-0.5,0.1,0.5,0.2
7,Group 3,21,RRG,2018,1.5,0.24,0.6,0.4
8,Group 3,21,RRG,2015,-1.5,0.225,0.75,0.3
8,Group 3,21,RRG,2016,-0.5,0.225,0.75,0.3
10,Group 3,21,RRG,2018,1.5,0.425,0.85,0.5
9,Group 3,21,RRG,2015,-1.5,0.182,0.91,0.2
9,Group 3,21,RRG,2016,-0.5,0.182,0.91,0.2
9,Group 3,21,RRG,2018,1.5,0.2125,0.85,0.25
7,Group 3,21,RRG,2015,-1.5,0.15,0.75,0.2
7,Group 3,21,RRG,2016,-0.5,0.15,0.75,0.2
8,Group 3,21,RRG,2018,1.5,0.2,0.8,0.25
10,Group 3,21,RRG,2015,-1.5,0.364,0.91,0.4
10,Group 3,21,RRG,2016,-0.5,0.364,0.91,0.4
9,Group 3,21,RRG,2018,1.5,0.2125,0.85,0.25
9,Group 3,21,RRG,2015,-1.5,0.243,0.81,0.3
9,Group 3,21,RRG,2016,-0.5,0.243,0.81,0.3
9,Group 3,21,RRG,2018,1.5,0.36,0.9,0.4
7,Group 3,21,RRG,2015,-1.5,0.14,0.7,0.2
7,Group 3,21,RRG,2016,-0.5,0.14,0.7,0.2
10,Group 3,21,RRG,2018,1.5,0.425,0.85,0.5
7,Group 3,21,RRG,2015,-1.5,0.15,0.5,0.3
7,Group 3,21,RRG,2016,-0.5,0.15,0.5,0.3
8,Group 3,21,RRG,2018,1.5,0.1625,0.65,0.25
9,Group 3,21,RRG,2015,-1.5,0.182,0.91,0.2
9,Group 3,21,RRG,2016,-0.5,0.182,0.91,0.2
6,Group 3,21,RRG,2018,1.5,0.0875,0.25,0.35
10,Group 3,21,RRG,2015,-1.5,0.486,0.81,0.6
10,Group 3,21,RRG,2016,-0.5,0.486,0.81,0.6
9,Group 3,21,RRG,2018,1.5,0.45,0.75,0.6
10,Group 3,21,RRG,2015,-1.5,0.486,0.81,0.6
10,Group 3,21,RRG,2016,-0.5,0.486,0.81,0.6
11,Group 3,21,RRG,2018,1.5,0.585,0.9,0.65
7,Group 3,21,RRG,2015,-1.5,0.24,0.6,0.4
7,Group 3,21,RRG,2016,-0.5,0.24,0.6,0.4
11,Group 3,21,RRG,2018,1.5,0.6375,0.85,0.75
9,Group 3,21,RRG,2015,-1.5,0.35,0.7,0.5
9,Group 3,21,RRG,2016,-0.5,0.35,0.7,0.5
11,Group 3,21,RRG,2018,1.5,0.72,0.9,0.8
9,Group 3,21,RRG,2015,-1.5,0.42,0.7,0.6
9,Group 3,21,RRG,2016,-0.5,0.42,0.7,0.6
11,Group 3,21,RRG,2018,1.5,0.68,0.85,0.8
9,Group 3,21,RRG,2015,-1.5,0.42,0.7,0.6
9,Group 3,21,RRG,2016,-0.5,0.42,0.7,0.6
10,Group 3,21,RRG,2018,1.5,0.6,0.8,0.75
8,Group 3,21,RRG,2015,-1.5,0.21,0.7,0.3
8,Group 3,21,RRG,2016,-0.5,0.21,0.7,0.3
11,Group 3,21,RRG,2018,1.5,0.675,0.9,0.75
7,Group 2,10,BB,2016,-0.5,0.24,0.6,0.4
11,Group 2,10,BB,2018,1.5,0.585,0.9,0.65
2,Group 2,10,BB,2015,-1.5,0.01,0.1,0.1
2,Group 2,10,BB,2016,-0.5,0.01,0.1,0.1
7,Group 2,10,BB,2015,-1.5,0.2,0.4,0.5
7,Group 2,10,BB,2016,-0.5,0.2,0.4,0.5
10,Group 2,10,BB,2018,1.5,0.52,0.65,0.8
9,Group 2,10,BB,2015,-1.5,0.42,0.7,0.6
9,Group 2,10,BB,2016,-0.5,0.42,0.7,0.6
10,Group 2,10,BB,2018,1.5,0.6,0.8,0.75
6,Group 2,10,BB,2015,-1.5,0.1,0.5,0.2
6,Group 2,10,BB,2016,-0.5,0.1,0.5,0.2
10,Group 2,10,BB,2018,1.5,0.5625,0.75,0.75
7,Group 2,10,BB,2015,-1.5,0.24,0.6,0.4
7,Group 2,10,BB,2016,-0.5,0.24,0.6,0.4
10,Group 2,10,BB,2018,1.5,0.6,0.8,0.75
9,Group 2,10,BB,2015,-1.5,0.45,0.75,0.6
9,Group 2,10,BB,2016,-0.5,0.45,0.75,0.6
10,Group 2,10,BB,2018,1.5,0.64,0.8,0.8
7,Group 2,10,BB,2015,-1.5,0.22,0.55,0.4
7,Group 2,10,BB,2016,-0.5,0.22,0.55,0.4
9,Group 1,22,BB,2015,-1.5,0.375,0.75,0.5
9,Group 1,22,BB,2016,-0.5,0.375,0.75,0.5
11,Group 1,22,BB,2018,1.5,0.68,0.85,0.8
9,Group 1,22,BB,2015,-1.5,0.375,0.75,0.5
9,Group 1,22,BB,2016,-0.5,0.375,0.75,0.5
11,Group 1,22,BB,2018,1.5,0.6375,0.85,0.75
7,Group 1,22,BB,2015,-1.5,0.2,0.5,0.4
7,Group 1,22,BB,2016,-0.5,0.2,0.5,0.4
11,Group 1,22,BB,2018,1.5,0.68,0.85,0.8
8,Group 1,22,BB,2015,-1.5,0.28,0.7,0.4
8,Group 1,22,BB,2016,-0.5,0.28,0.7,0.4
10,Group 1,22,BB,2018,1.5,0.6,0.8,0.75
12,Group 1,22,BB,2015,-1.5,0.6825,0.91,0.75
12,Group 1,22,BB,2016,-0.5,0.6825,0.91,0.75
12,Group 1,22,BB,2018,1.5,0.76,0.95,0.8
12,Group 1,22,BB,2015,-1.5,0.6825,0.91,0.75
12,Group 1,22,BB,2016,-0.5,0.6825,0.91,0.75
12,Group 1,22,BB,2018,1.5,0.76,0.95,0.8
8,Group 1,22,BB,2015,-1.5,0.36,0.6,0.6
8,Group 1,22,BB,2016,-0.5,0.36,0.6,0.6
10,Group 1,22,BB,2018,1.5,0.64,0.8,0.8
7,Group 1,22,BB,2015,-1.5,0.24,0.6,0.4
10,Group 1,5,BB,2015,-1.5,0.486,0.81,0.6
8,Group 1,5,BB,2015,-1.5,0.225,0.75,0.3
8,Group 1,5,BB,2016,-0.5,0.225,0.75,0.3
11,Group 1,5,BB,2018,1.5,0.72,0.9,0.8
9,Group 1,5,BB,2015,-1.5,0.243,0.81,0.3
9,Group 1,5,BB,2016,-0.5,0.243,0.81,0.3
12,Group 1,5,BB,2018,1.5,0.765,0.9,0.85
9,Group 1,5,BB,2015,-1.5,0.45,0.75,0.6
9,Group 1,5,BB,2016,-0.5,0.45,0.75,0.6
12,Group 1,5,BB,2018,1.5,0.7225,0.85,0.85
10,Group 1,5,BB,2015,-1.5,0.486,0.81,0.6
10,Group 1,5,BB,2016,-0.5,0.486,0.81,0.6
11,Group 1,5,BB,2018,1.5,0.72,0.8,0.9
9,Group 1,5,BB,2015,-1.5,0.42,0.7,0.6
9,Group 1,5,BB,2016,-0.5,0.42,0.7,0.6
11,Group 1,5,BB,2018,1.5,0.68,0.85,0.8
9,Group 1,5,BB,2015,-1.5,0.42,0.7,0.6
9,Group 1,5,BB,2016,-0.5,0.42,0.7,0.6
12,Group 1,5,BB,2018,1.5,0.7225,0.85,0.85
7,Group 1,5,BB,2015,-1.5,0.18,0.6,0.3
7,Group 1,5,BB,2016,-0.5,0.18,0.6,0.3
10,Group 1,5,BB,2018,1.5,0.5625,0.75,0.75
10,Group 1,5,BB,2015,-1.5,0.405,0.81,0.5
10,Group 1,5,BB,2016,-0.5,0.405,0.81,0.5
10,Group 1,5,BB,2018,1.5,0.525,0.7,0.75
8,Group 1,5,BB,2015,-1.5,0.21,0.7,0.3
8,Group 1,5,BB,2016,-0.5,0.21,0.7,0.3
11,Group 1,5,BB,2018,1.5,0.6375,0.85,0.75
8,Group 1,5,BB,2015,-1.5,0.25,0.5,0.5
8,Group 1,5,BB,2016,-0.5,0.25,0.5,0.5
9,Group 1,5,BB,2018,1.5,0.4125,0.55,0.75
7,Group 1,5,BB,2015,-1.5,0.18,0.6,0.3
7,Group 1,5,BB,2016,-0.5,0.18,0.6,0.3
10,Group 2,10,BB,2018,1.5,0.64,0.8,0.8
8,Group 2,10,BB,2015,-1.5,0.28,0.7,0.4
8,Group 2,10,BB,2016,-0.5,0.28,0.7,0.4
10,Group 2,10,BB,2018,1.5,0.6,0.8,0.75
6,Group 2,10,BB,2015,-1.5,0.12,0.6,0.2
6,Group 2,10,BB,2016,-0.5,0.12,0.6,0.2
10,Group 2,10,BB,2018,1.5,0.56,0.8,0.7
7,Group 2,10,BB,2015,-1.5,0.24,0.6,0.4
7,Group 2,10,BB,2016,-0.5,0.24,0.6,0.4
11,Group 2,10,BB,2018,1.5,0.6375,0.85,0.75
7,Group 2,10,BB,2015,-1.5,0.24,0.4,0.6
7,Group 2,10,BB,2016,-0.5,0.24,0.4,0.6
9,Group 2,10,BB,2018,1.5,0.48,0.6,0.8
6,Group 2,10,BB,2015,-1.5,0.16,0.4,0.4
6,Group 2,10,BB,2016,-0.5,0.16,0.4,0.4
11,Group 2,10,BB,2018,1.5,0.6375,0.85,0.75
4,Group 2,10,BB,2015,-1.5,0.04,0.2,0.2
4,Group 2,10,BB,2016,-0.5,0.04,0.2,0.2
8,Group 2,10,BB,2018,1.5,0.3,0.4,0.75
8,Group 2,10,BB,2015,-1.5,0.3,0.75,0.4
8,Group 2,10,BB,2016,-0.5,0.3,0.75,0.4
11,Group 2,10,BB,2018,1.5,0.6375,0.85,0.75
5,Group 2,10,BB,2015,-1.5,0.08,0.4,0.2
5,Group 2,10,BB,2016,-0.5,0.08,0.4,0.2
10,Group 2,10,BB,2018,1.5,0.525,0.7,0.75
6,Group 2,10,BB,2015,-1.5,0.16,0.4,0.4
6,Group 2,10,BB,2016,-0.5,0.16,0.4,0.4
10,Group 2,10,BB,2018,1.5,0.64,0.8,0.8
7,Group 2,10,BB,2015,-1.5,0.24,0.6,0.4
7,Group 2,10,BB,2016,-0.5,0.24,0.6,0.4
11,Group 2,10,BB,2018,1.5,0.6375,0.85,0.75
6,Group 2,10,BB,2015,-1.5,0.1,0.5,0.2
6,Group 2,10,BB,2016,-0.5,0.1,0.5,0.2
10,Group 2,10,BB,2018,1.5,0.6,0.8,0.75
8,Group 2,10,BB,2015,-1.5,0.33,0.55,0.6
8,Group 2,10,BB,2016,-0.5,0.33,0.55,0.6
10,Group 2,10,BB,2018,1.5,0.6,0.8,0.75
8,Group 2,10,BB,2015,-1.5,0.33,0.55,0.6
8,Group 2,10,BB,2016,-0.5,0.33,0.55,0.6
11,Group 2,10,BB,2018,1.5,0.68,0.8,0.85
7,Group 2,10,BB,2015,-1.5,0.22,0.55,0.4
7,Group 2,10,BB,2016,-0.5,0.22,0.55,0.4
