TCI,HYDRO_GP,Transect,Species,Year,medYear,time,mTCI,transectYears
11,Group 5,17,RRG,2016,2016.5,-0.5,0.595,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.51,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.51,3
11,Group 5,17,RRG,2018,2016.5,1.5,0.675,3
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7735,3
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7735,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.665,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7225,3
12,Group 2,16,RRG,2016,2016.5,-0.5,0.728,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
12,Group 2,16,RRG,2015,2016.5,-1.5,0.728,3
11,Group 2,16,RRG,2016,2016.5,-0.5,0.567,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
11,Group 2,16,RRG,2015,2016.5,-1.5,0.567,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.225,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.225,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.225,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.225,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
6,Group 2,16,RRG,2016,2016.5,-0.5,0.12,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
6,Group 2,16,RRG,2015,2016.5,-1.5,0.12,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.63,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
10,Group 2,16,RRG,2016,2016.5,-0.5,0.486,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.76,3
10,Group 2,16,RRG,2015,2016.5,-1.5,0.486,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.3,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.3,3
11,Group 2,16,RRG,2016,2016.5,-0.5,0.567,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.76,3
11,Group 2,16,RRG,2015,2016.5,-1.5,0.567,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.72,3
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06,3
3,Group 2,16,RRG,2016,2016.5,-0.5,0.015,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.5525,3
3,Group 2,16,RRG,2015,2016.5,-1.5,0.015,3
4,Group 2,16,RRG,2016,2016.5,-0.5,0.03,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
4,Group 2,16,RRG,2015,2016.5,-1.5,0.03,3
10,Group 2,16,RRG,2016,2016.5,-0.5,0.6,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
10,Group 2,16,RRG,2015,2016.5,-1.5,0.6,3
9,Group 2,16,RRG,2016,2016.5,-0.5,0.35,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
9,Group 2,16,RRG,2015,2016.5,-1.5,0.35,3
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.475,3
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06,3
9,Group 2,16,RRG,2016,2016.5,-0.5,0.35,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
9,Group 2,16,RRG,2015,2016.5,-1.5,0.35,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.15,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.15,3
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.195,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.195,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.68,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.13,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.13,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.195,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.195,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.32,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.6375,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.32,3
2,Group 2,16,RRG,2016,2016.5,-0.5,0.005,3
9,Group 2,16,RRG,2018,2016.5,1.5,0.4125,3
2,Group 2,16,RRG,2015,2016.5,-1.5,0.005,3
10,Group 2,16,RRG,2016,2016.5,-0.5,0.3825,3
10,Group 2,16,RRG,2018,2016.5,1.5,0.54,3
10,Group 2,16,RRG,2015,2016.5,-1.5,0.3825,3
9,Group 2,16,RRG,2016,2016.5,-0.5,0.3375,3
13,Group 2,16,RRG,2018,2016.5,1.5,0.8075,3
9,Group 2,16,RRG,2015,2016.5,-1.5,0.3375,3
6,Group 2,16,RRG,2016,2016.5,-0.5,0.1,3
10,Group 2,16,RRG,2018,2016.5,1.5,0.56,3
6,Group 2,16,RRG,2015,2016.5,-1.5,0.1,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.61,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.61,3
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7735,3
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7735,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.76,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7,3
11,Group 5,17,RRG,2018,2016.5,1.5,0.63,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7,3
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7371,3
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7371,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.75,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.427,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.427,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.765,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.49,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.49,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.765,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7225,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7225,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7225,3
11,Group 5,17,RRG,2018,2016.5,1.5,0.72,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.6561,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.6561,3
11,Group 5,17,RRG,2015,2016.5,-1.5,0.4941,3
11,Group 5,17,RRG,2016,2016.5,-0.5,0.4941,3
11,Group 5,17,RRG,2018,2016.5,1.5,0.6375,3
9,Group 5,17,RRG,2015,2016.5,-1.5,0.4,3
9,Group 5,17,RRG,2016,2016.5,-0.5,0.4,3
9,Group 5,17,RRG,2018,2016.5,1.5,0.3575,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7225,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7225,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
8,Group 5,17,RRG,2015,2016.5,-1.5,0.08,3
8,Group 5,17,RRG,2016,2016.5,-0.5,0.08,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.637,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.637,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.75,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.637,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.637,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.665,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.51,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.51,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.665,3
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7735,3
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7735,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.637,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.637,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.405,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.405,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.405,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.405,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.405,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.405,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
11,Group 5,17,RRG,2015,2016.5,-1.5,0.648,3
11,Group 5,17,RRG,2016,2016.5,-0.5,0.648,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.76,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.56,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.56,3
11,Group 5,17,RRG,2018,2016.5,1.5,0.675,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.56,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.56,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
9,Group 5,17,RRG,2015,2016.5,-1.5,0.42,3
9,Group 5,17,RRG,2016,2016.5,-0.5,0.42,3
11,Group 5,17,RRG,2018,2016.5,1.5,0.675,3
11,Group 5,17,RRG,2015,2016.5,-1.5,0.63,3
11,Group 5,17,RRG,2016,2016.5,-0.5,0.63,3
10,Group 5,17,RRG,2018,2016.5,1.5,0.495,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.5915,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.5915,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.76,3
11,Group 5,17,RRG,2015,2016.5,-1.5,0.595,3
12,Group 5,17,RRG,2016,2016.5,-0.5,0.7225,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.76,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.525,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.525,3
11,Group 2,19,BB,2018,2016.5,1.5,0.675,3
3,Group 2,19,BB,2015,2016.5,-1.5,0.015,3
3,Group 2,19,BB,2016,2016.5,-0.5,0.015,3
6,Group 2,19,BB,2018,2016.5,1.5,0.0325,3
8,Group 2,19,BB,2015,2016.5,-1.5,0.36,3
8,Group 2,19,BB,2016,2016.5,-0.5,0.36,3
5,Group 1,2,BB,2015,2016.5,-1.5,0.06,3
5,Group 1,2,BB,2016,2016.5,-0.5,0.06,3
10,Group 1,2,BB,2018,2016.5,1.5,0.6,3
8,Group 1,2,BB,2015,2016.5,-1.5,0.36,3
8,Group 1,2,BB,2016,2016.5,-0.5,0.36,3
0,Group 1,2,BB,2018,2016.5,1.5,0,3
9,Group 1,2,BB,2015,2016.5,-1.5,0.35,3
9,Group 1,2,BB,2016,2016.5,-0.5,0.35,3
12,Group 1,2,BB,2018,2016.5,1.5,0.7225,3
11,Group 1,2,BB,2015,2016.5,-1.5,0.546,3
11,Group 1,2,BB,2016,2016.5,-0.5,0.546,3
12,Group 1,2,BB,2018,2016.5,1.5,0.76,3
7,Group 1,2,BB,2015,2016.5,-1.5,0.15,3
7,Group 1,2,BB,2016,2016.5,-0.5,0.15,3
10,Group 1,2,BB,2018,2016.5,1.5,0.56,3
7,Group 1,2,BB,2015,2016.5,-1.5,0.2,3
7,Group 1,2,BB,2016,2016.5,-0.5,0.2,3
10,Group 1,2,BB,2018,2016.5,1.5,0.64,3
2,Group 2,3,Cooba,2015,2016.5,-1.5,0.0025,3
2,Group 2,3,Cooba,2016,2016.5,-0.5,0.0025,3
4,Group 2,3,Cooba,2018,2016.5,1.5,0.015,3
12,Group 2,3,Cooba,2015,2016.5,-1.5,0.6825,3
12,Group 2,3,Cooba,2016,2016.5,-0.5,0.6825,3
11,Group 2,3,Cooba,2018,2016.5,1.5,0.57,3
10,Group 2,3,Cooba,2015,2016.5,-1.5,0.364,3
10,Group 2,3,Cooba,2016,2016.5,-0.5,0.364,3
10,Group 2,3,Cooba,2018,2016.5,1.5,0.45,3
9,Group 2,3,Cooba,2018,2016.5,1.5,0.4,3
11,Group 2,3,Cooba,2015,2016.5,-1.5,0.455,3
11,Group 2,3,Cooba,2016,2016.5,-0.5,0.455,3
13,Group 2,3,Cooba,2015,2016.5,-1.5,0.7371,3
13,Group 2,3,Cooba,2016,2016.5,-0.5,0.7371,3
10,Group 2,3,Cooba,2018,2016.5,1.5,0.54,3
10,Group 3,7,BB,2018,2016.5,1.5,0.6,3
8,Group 3,7,BB,2015,2016.5,-1.5,0.25,3
8,Group 3,7,BB,2016,2016.5,-0.5,0.25,3
11,Group 3,7,BB,2018,2016.5,1.5,0.68,3
11,Group 3,7,BB,2015,2016.5,-1.5,0.6075,3
11,Group 3,7,BB,2016,2016.5,-0.5,0.6075,3
10,Group 3,7,BB,2018,2016.5,1.5,0.5625,3
10,Group 3,7,BB,2015,2016.5,-1.5,0.525,3
10,Group 3,7,BB,2016,2016.5,-0.5,0.525,3
12,Group 3,7,BB,2018,2016.5,1.5,0.76,3
9,Group 3,7,BB,2015,2016.5,-1.5,0.42,3
9,Group 3,7,BB,2016,2016.5,-0.5,0.42,3
11,Group 3,7,BB,2018,2016.5,1.5,0.72,3
9,Group 3,7,BB,2015,2016.5,-1.5,0.42,3
9,Group 3,7,BB,2016,2016.5,-0.5,0.42,3
12,Group 3,7,BB,2018,2016.5,1.5,0.7225,3
11,Group 3,7,BB,2015,2016.5,-1.5,0.567,3
11,Group 3,7,BB,2016,2016.5,-0.5,0.567,3
11,Group 3,7,BB,2018,2016.5,1.5,0.72,3
7,Group 3,7,BB,2016,2016.5,-0.5,0.24,3
8,Group 2,10,BB,2015,2016.5,-1.5,0.36,3
8,Group 2,10,BB,2016,2016.5,-0.5,0.36,3
10,Group 2,10,BB,2018,2016.5,1.5,0.5625,3
7,Group 2,10,BB,2015,2016.5,-1.5,0.2,3
7,Group 2,10,BB,2016,2016.5,-0.5,0.2,3
9,Group 2,10,BB,2018,2016.5,1.5,0.4125,3
6,Group 2,10,BB,2015,2016.5,-1.5,0.12,3
6,Group 2,10,BB,2016,2016.5,-0.5,0.12,3
10,Group 2,10,BB,2018,2016.5,1.5,0.49,3
8,Group 2,10,BB,2015,2016.5,-1.5,0.3,3
8,Group 2,10,BB,2016,2016.5,-0.5,0.3,3
10,Group 2,10,BB,2018,2016.5,1.5,0.5625,3
7,Group 2,10,BB,2015,2016.5,-1.5,0.14,3
7,Group 2,10,BB,2016,2016.5,-0.5,0.14,3
10,Group 2,10,BB,2018,2016.5,1.5,0.5625,3
9,Group 2,10,BB,2015,2016.5,-1.5,0.35,3
9,Group 2,10,BB,2016,2016.5,-0.5,0.35,3
10,Group 2,10,BB,2018,2016.5,1.5,0.56,3
7,Group 2,10,BB,2015,2016.5,-1.5,0.24,3
10,Group 2,19,BB,2018,2016.5,1.5,0.6,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.525,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.525,3
10,Group 2,19,BB,2018,2016.5,1.5,0.64,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.52,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.52,3
12,Group 2,19,BB,2018,2016.5,1.5,0.7225,3
8,Group 2,19,BB,2015,2016.5,-1.5,0.1681,3
8,Group 2,19,BB,2016,2016.5,-0.5,0.1681,3
10,Group 2,19,BB,2018,2016.5,1.5,0.6,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.525,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.525,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.525,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.525,3
10,Group 2,19,BB,2018,2016.5,1.5,0.6,3
9,Group 2,19,BB,2015,2016.5,-1.5,0.42,3
9,Group 2,19,BB,2016,2016.5,-0.5,0.42,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
12,Group 2,19,BB,2018,2016.5,1.5,0.7225,3
11,Group 2,19,BB,2015,2016.5,-1.5,0.595,3
11,Group 2,19,BB,2016,2016.5,-0.5,0.595,3
11,Group 2,19,BB,2015,2016.5,-1.5,0.5265,3
11,Group 2,19,BB,2016,2016.5,-0.5,0.5265,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.525,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.525,3
10,Group 2,19,BB,2018,2016.5,1.5,0.6,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.49,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.49,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
5,Group 2,19,BB,2015,2016.5,-1.5,0.05,3
5,Group 2,19,BB,2016,2016.5,-0.5,0.05,3
10,Group 2,19,BB,2018,2016.5,1.5,0.4675,3
7,Group 2,19,BB,2015,2016.5,-1.5,0.18,3
7,Group 2,19,BB,2016,2016.5,-0.5,0.18,3
10,Group 2,19,BB,2018,2016.5,1.5,0.5625,3
5,Group 2,19,BB,2015,2016.5,-1.5,0.06,3
5,Group 2,19,BB,2016,2016.5,-0.5,0.06,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
6,Group 2,19,BB,2015,2016.5,-1.5,0.09,3
6,Group 2,19,BB,2016,2016.5,-0.5,0.09,3
9,Group 2,19,BB,2018,2016.5,1.5,0.4,3
6,Group 2,19,BB,2015,2016.5,-1.5,0.09,3
6,Group 2,19,BB,2016,2016.5,-0.5,0.09,3
10,Group 2,19,BB,2018,2016.5,1.5,0.56,3
7,Group 2,19,BB,2015,2016.5,-1.5,0.18,3
7,Group 2,19,BB,2016,2016.5,-0.5,0.18,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
8,Group 2,19,BB,2015,2016.5,-1.5,0.3,3
8,Group 2,19,BB,2016,2016.5,-0.5,0.3,3
10,Group 2,19,BB,2018,2016.5,1.5,0.6,3
8,Group 2,19,BB,2015,2016.5,-1.5,0.205,3
8,Group 2,19,BB,2016,2016.5,-0.5,0.205,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
6,Group 2,19,BB,2015,2016.5,-1.5,0.09,3
6,Group 2,19,BB,2016,2016.5,-0.5,0.09,3
10,Group 2,19,BB,2018,2016.5,1.5,0.56,3
6,Group 2,19,BB,2015,2016.5,-1.5,0.12,3
6,Group 2,19,BB,2016,2016.5,-0.5,0.12,3
11,Group 2,19,BB,2018,2016.5,1.5,0.675,3
7,Group 2,19,BB,2015,2016.5,-1.5,0.18,3
7,Group 2,19,BB,2016,2016.5,-0.5,0.18,3
11,Group 2,19,BB,2018,2016.5,1.5,0.675,3
7,Group 2,19,BB,2015,2016.5,-1.5,0.15,3
7,Group 2,19,BB,2016,2016.5,-0.5,0.15,3
11,Group 2,19,BB,2018,2016.5,1.5,0.6375,3
8,Group 2,19,BB,2015,2016.5,-1.5,0.205,3
8,Group 2,19,BB,2016,2016.5,-0.5,0.205,3
11,Group 2,19,BB,2018,2016.5,1.5,0.68,3
10,Group 2,19,BB,2015,2016.5,-1.5,0.3721,3
10,Group 2,19,BB,2016,2016.5,-0.5,0.3721,3
12,Group 2,19,BB,2018,2016.5,1.5,0.7225,3
6,Group 2,19,BB,2015,2016.5,-1.5,0.12,3
6,Group 2,19,BB,2016,2016.5,-0.5,0.12,3
10,Group 2,19,BB,2018,2016.5,1.5,0.6,3
7,Group 2,19,BB,2015,2016.5,-1.5,0.18,3
7,Group 2,19,BB,2016,2016.5,-0.5,0.18,3
10,Group 2,19,BB,2018,2016.5,1.5,0.6,3
6,Group 2,19,BB,2015,2016.5,-1.5,0.09,3
6,Group 2,19,BB,2016,2016.5,-0.5,0.09,3
10,Group 2,19,BB,2018,2016.5,1.5,0.5625,3
14,Group 5,18,RRG,2015,2016.5,-1.5,0.91,3
14,Group 5,18,RRG,2016,2016.5,-0.5,0.91,3
