TCI,HydroGp,Transect,Species,Year,time,mTCI
5,Group 1,2,BB,2016,-0.5,0.06
10,Group 1,2,BB,2018,1.5,0.6
9,Group 1,15,BB,2015,-1.5,0.42
9,Group 1,15,BB,2016,-0.5,0.42
10,Group 1,15,BB,2018,1.5,0.64
9,Group 1,15,BB,2015,-1.5,0.3075
9,Group 1,15,BB,2016,-0.5,0.3075
11,Group 1,15,BB,2018,1.5,0.6375
8,Group 1,15,BB,2015,-1.5,0.3
8,Group 1,15,BB,2016,-0.5,0.3
11,Group 1,15,BB,2018,1.5,0.68
8,Group 1,15,BB,2015,-1.5,0.21
8,Group 1,15,BB,2016,-0.5,0.21
10,Group 1,15,BB,2018,1.5,0.6
8,Group 1,15,BB,2015,-1.5,0.21
8,Group 1,15,BB,2016,-0.5,0.21
11,Group 1,15,BB,2018,1.5,0.6375
8,Group 1,15,BB,2015,-1.5,0.246
8,Group 1,15,BB,2016,-0.5,0.246
10,Group 1,15,BB,2018,1.5,0.64
9,Group 1,15,BB,2015,-1.5,0.45
9,Group 1,15,BB,2016,-0.5,0.45
11,Group 1,15,BB,2018,1.5,0.5525
10,Group 1,15,BB,2015,-1.5,0.486
10,Group 1,15,BB,2016,-0.5,0.486
11,Group 1,15,BB,2018,1.5,0.675
8,Group 1,15,BB,2015,-1.5,0.3
8,Group 1,15,BB,2016,-0.5,0.3
11,Group 1,15,BB,2018,1.5,0.68
10,Group 1,15,BB,2015,-1.5,0.486
10,Group 1,15,BB,2016,-0.5,0.486
12,Group 1,15,BB,2018,1.5,0.7225
9,Group 1,15,BB,2015,-1.5,0.3075
9,Group 1,15,BB,2016,-0.5,0.3075
11,Group 1,15,BB,2018,1.5,0.68
4,Group 1,15,BB,2015,-1.5,0.04
4,Group 1,15,BB,2016,-0.5,0.04
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
8,Group 1,15,BB,2018,1.5,0.21
7,Group 1,15,BB,2015,-1.5,0.2
7,Group 1,15,BB,2016,-0.5,0.2
10,Group 1,15,BB,2018,1.5,0.6
8,Group 1,15,BB,2015,-1.5,0.162
8,Group 1,15,BB,2016,-0.5,0.162
11,Group 1,15,BB,2018,1.5,0.6375
10,Group 1,15,BB,2015,-1.5,0.405
10,Group 1,15,BB,2016,-0.5,0.405
10,Group 1,15,BB,2018,1.5,0.6
10,Group 1,15,BB,2015,-1.5,0.405
10,Group 1,15,BB,2016,-0.5,0.405
10,Group 1,15,BB,2018,1.5,0.6
5,Group 1,15,BB,2015,-1.5,0.06
5,Group 1,15,BB,2016,-0.5,0.06
9,Group 1,15,BB,2015,-1.5,0.42
9,Group 1,15,BB,2016,-0.5,0.42
10,Group 1,15,BB,2018,1.5,0.64
4,Group 1,15,BB,2015,-1.5,0.03
4,Group 1,15,BB,2016,-0.5,0.03
9,Group 1,15,BB,2018,1.5,0.375
7,Group 1,15,BB,2015,-1.5,0.2
7,Group 1,15,BB,2016,-0.5,0.2
11,Group 1,15,BB,2018,1.5,0.6375
7,Group 1,15,BB,2015,-1.5,0.15
7,Group 1,15,BB,2016,-0.5,0.15
11,Group 1,15,BB,2018,1.5,0.6375
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
10,Group 1,15,BB,2018,1.5,0.6
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
10,Group 1,15,BB,2018,1.5,0.49
9,Group 1,15,BB,2015,-1.5,0.35
9,Group 1,15,BB,2016,-0.5,0.35
11,Group 1,15,BB,2018,1.5,0.6375
5,Group 1,15,BB,2015,-1.5,0.05
5,Group 1,15,BB,2016,-0.5,0.05
10,Group 1,15,BB,2018,1.5,0.525
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
10,Group 1,15,BB,2018,1.5,0.6
10,Group 1,15,BB,2015,-1.5,0.3321
10,Group 1,15,BB,2016,-0.5,0.3321
12,Group 1,15,BB,2018,1.5,0.7125
10,Group 1,15,BB,2015,-1.5,0.3321
10,Group 1,15,BB,2016,-0.5,0.3321
11,Group 1,15,BB,2018,1.5,0.675
6,Group 1,15,BB,2015,-1.5,0.16
6,Group 1,15,BB,2016,-0.5,0.16
10,Group 1,15,BB,2018,1.5,0.6
9,Group 3,7,BB,2015,-1.5,0.42
9,Group 3,7,BB,2016,-0.5,0.42
11,Group 3,7,BB,2018,1.5,0.68
9,Group 3,7,BB,2015,-1.5,0.42
9,Group 3,7,BB,2016,-0.5,0.42
11,Group 3,7,BB,2018,1.5,0.68
7,Group 3,7,BB,2015,-1.5,0.24
7,Group 3,7,BB,2016,-0.5,0.24
10,Group 3,7,BB,2018,1.5,0.6
7,Group 3,7,BB,2015,-1.5,0.24
6,Group 3,7,BB,2015,-1.5,0.12
6,Group 3,7,BB,2016,-0.5,0.12
10,Group 3,7,BB,2018,1.5,0.64
7,Group 3,7,BB,2015,-1.5,0.2
7,Group 3,7,BB,2016,-0.5,0.2
10,Group 3,7,BB,2018,1.5,0.525
7,Group 3,7,BB,2015,-1.5,0.24
7,Group 3,7,BB,2016,-0.5,0.24
10,Group 3,7,BB,2018,1.5,0.64
7,Group 3,7,BB,2015,-1.5,0.24
7,Group 3,7,BB,2016,-0.5,0.24
11,Group 3,7,BB,2018,1.5,0.68
8,Group 3,7,BB,2015,-1.5,0.36
8,Group 3,7,BB,2016,-0.5,0.36
11,Group 3,7,BB,2018,1.5,0.6375
9,Group 3,7,BB,2015,-1.5,0.45
9,Group 3,7,BB,2016,-0.5,0.45
11,Group 3,7,BB,2018,1.5,0.6375
8,Group 3,7,BB,2015,-1.5,0.36
8,Group 3,7,BB,2016,-0.5,0.36
10,Group 3,7,BB,2018,1.5,0.6
8,Group 3,7,BB,2015,-1.5,0.25
8,Group 3,7,BB,2016,-0.5,0.25
11,Group 3,7,BB,2018,1.5,0.68
10,Group 3,7,BB,2015,-1.5,0.5625
10,Group 3,7,BB,2016,-0.5,0.5625
13,Group 3,7,BB,2018,1.5,0.8075
12,Group 3,7,BB,2015,-1.5,0.6561
12,Group 3,7,BB,2016,-0.5,0.6561
11,Group 3,7,BB,2018,1.5,0.68
14,Group 3,7,BB,2015,-1.5,1
14,Group 3,7,BB,2016,-0.5,1
12,Group 3,7,BB,2018,1.5,0.76
8,Group 3,7,BB,2015,-1.5,0.28
8,Group 3,7,BB,2016,-0.5,0.28
10,Group 3,7,BB,2018,1.5,0.6
7,Group 3,7,BB,2015,-1.5,0.24
7,Group 3,7,BB,2016,-0.5,0.24
12,Group 3,7,BB,2018,1.5,0.7225
9,Group 3,7,BB,2015,-1.5,0.42
9,Group 3,7,BB,2016,-0.5,0.42
12,Group 3,7,BB,2018,1.5,0.7225
8,Group 3,7,BB,2015,-1.5,0.28
8,Group 3,7,BB,2016,-0.5,0.28
10,Group 3,7,BB,2018,1.5,0.5625
6,Group 3,7,BB,2015,-1.5,0.16
6,Group 3,7,BB,2016,-0.5,0.16
9,Group 3,7,BB,2018,1.5,0.35
8,Group 3,7,BB,2015,-1.5,0.36
8,Group 3,7,BB,2016,-0.5,0.36
12,Group 3,7,BB,2018,1.5,0.7225
13,Group 3,7,BB,2015,-1.5,0.7371
13,Group 3,7,BB,2016,-0.5,0.7371
13,Group 3,7,BB,2018,1.5,0.8075
12,Group 3,7,BB,2015,-1.5,0.637
12,Group 3,7,BB,2016,-0.5,0.637
12,Group 3,7,BB,2018,1.5,0.765
7,Group 3,7,BB,2015,-1.5,0.175
7,Group 3,7,BB,2016,-0.5,0.175
9,Group 3,7,BB,2018,1.5,0.4
8,Group 3,21,RRG,2015,-1.5,0.28
8,Group 3,21,RRG,2016,-0.5,0.28
11,Group 3,21,RRG,2018,1.5,0.6375
5,Group 3,21,RRG,2015,-1.5,0.06
5,Group 3,21,RRG,2016,-0.5,0.06
9,Group 3,21,RRG,2018,1.5,0.4125
5,Group 3,21,RRG,2015,-1.5,0.06
5,Group 3,21,RRG,2016,-0.5,0.06
9,Group 3,21,RRG,2018,1.5,0.35
9,Group 3,21,RRG,2015,-1.5,0.35
9,Group 3,21,RRG,2016,-0.5,0.35
11,Group 3,21,RRG,2018,1.5,0.6375
8,Group 3,21,RRG,2015,-1.5,0.28
8,Group 3,21,RRG,2016,-0.5,0.28
10,Group 3,21,RRG,2018,1.5,0.455
5,Group 3,21,RRG,2015,-1.5,0.06
5,Group 3,21,RRG,2016,-0.5,0.06
10,Group 3,21,RRG,2018,1.5,0.64
7,Group 3,21,RRG,2015,-1.5,0.14
7,Group 3,21,RRG,2016,-0.5,0.14
11,Group 3,21,RRG,2018,1.5,0.595
7,Group 3,21,RRG,2015,-1.5,0.14
7,Group 3,21,RRG,2016,-0.5,0.14
11,Group 3,21,RRG,2018,1.5,0.585
7,Group 3,21,RRG,2015,-1.5,0.14
7,Group 3,21,RRG,2016,-0.5,0.14
11,Group 3,21,RRG,2018,1.5,0.72
9,Group 3,21,RRG,2015,-1.5,0.35
9,Group 3,21,RRG,2016,-0.5,0.35
12,Group 3,21,RRG,2018,1.5,0.76
9,Group 3,21,RRG,2015,-1.5,0.35
9,Group 3,21,RRG,2016,-0.5,0.35
11,Group 3,21,RRG,2018,1.5,0.72
7,Group 3,21,RRG,2015,-1.5,0.18
7,Group 3,21,RRG,2016,-0.5,0.18
10,Group 3,21,RRG,2018,1.5,0.525
7,Group 3,21,RRG,2015,-1.5,0.15
7,Group 3,21,RRG,2016,-0.5,0.15
11,Group 3,21,RRG,2018,1.5,0.675
11,Group 3,21,RRG,2015,-1.5,0.6075
11,Group 3,21,RRG,2016,-0.5,0.6075
11,Group 3,21,RRG,2018,1.5,0.63
6,Group 3,21,RRG,2015,-1.5,0.1
6,Group 3,21,RRG,2016,-0.5,0.1
7,Group 3,21,RRG,2018,1.5,0.24
8,Group 3,21,RRG,2015,-1.5,0.225
8,Group 3,21,RRG,2016,-0.5,0.225
10,Group 3,21,RRG,2018,1.5,0.425
9,Group 3,21,RRG,2015,-1.5,0.182
9,Group 3,21,RRG,2016,-0.5,0.182
9,Group 3,21,RRG,2018,1.5,0.2125
7,Group 3,21,RRG,2015,-1.5,0.15
7,Group 3,21,RRG,2016,-0.5,0.15
8,Group 3,21,RRG,2018,1.5,0.2
10,Group 3,21,RRG,2015,-1.5,0.364
10,Group 3,21,RRG,2016,-0.5,0.364
9,Group 3,21,RRG,2018,1.5,0.2125
9,Group 3,21,RRG,2015,-1.5,0.243
9,Group 3,21,RRG,2016,-0.5,0.243
9,Group 3,21,RRG,2018,1.5,0.36
7,Group 3,21,RRG,2015,-1.5,0.14
7,Group 3,21,RRG,2016,-0.5,0.14
10,Group 3,21,RRG,2018,1.5,0.425
7,Group 3,21,RRG,2015,-1.5,0.15
7,Group 3,21,RRG,2016,-0.5,0.15
8,Group 3,21,RRG,2018,1.5,0.1625
9,Group 3,21,RRG,2015,-1.5,0.182
9,Group 3,21,RRG,2016,-0.5,0.182
6,Group 3,21,RRG,2018,1.5,0.0875
10,Group 3,21,RRG,2015,-1.5,0.486
10,Group 3,21,RRG,2016,-0.5,0.486
9,Group 3,21,RRG,2018,1.5,0.45
10,Group 3,21,RRG,2015,-1.5,0.486
10,Group 3,21,RRG,2016,-0.5,0.486
11,Group 3,21,RRG,2018,1.5,0.585
7,Group 3,21,RRG,2015,-1.5,0.24
7,Group 3,21,RRG,2016,-0.5,0.24
11,Group 3,21,RRG,2018,1.5,0.6375
9,Group 3,21,RRG,2015,-1.5,0.35
9,Group 3,21,RRG,2016,-0.5,0.35
11,Group 3,21,RRG,2018,1.5,0.72
9,Group 3,21,RRG,2015,-1.5,0.42
9,Group 3,21,RRG,2016,-0.5,0.42
11,Group 3,21,RRG,2018,1.5,0.68
9,Group 3,21,RRG,2015,-1.5,0.42
9,Group 3,21,RRG,2016,-0.5,0.42
10,Group 3,21,RRG,2018,1.5,0.6
8,Group 3,21,RRG,2015,-1.5,0.21
8,Group 3,21,RRG,2016,-0.5,0.21
11,Group 3,21,RRG,2018,1.5,0.675
7,Group 2,10,BB,2016,-0.5,0.24
11,Group 2,10,BB,2018,1.5,0.585
2,Group 2,10,BB,2015,-1.5,0.01
2,Group 2,10,BB,2016,-0.5,0.01
7,Group 2,10,BB,2015,-1.5,0.2
7,Group 2,10,BB,2016,-0.5,0.2
10,Group 2,10,BB,2018,1.5,0.52
9,Group 2,10,BB,2015,-1.5,0.42
9,Group 2,10,BB,2016,-0.5,0.42
10,Group 2,10,BB,2018,1.5,0.6
6,Group 2,10,BB,2015,-1.5,0.1
6,Group 2,10,BB,2016,-0.5,0.1
10,Group 2,10,BB,2018,1.5,0.5625
7,Group 2,10,BB,2015,-1.5,0.24
7,Group 2,10,BB,2016,-0.5,0.24
10,Group 2,10,BB,2018,1.5,0.6
9,Group 2,10,BB,2015,-1.5,0.45
9,Group 2,10,BB,2016,-0.5,0.45
10,Group 2,10,BB,2018,1.5,0.64
7,Group 2,10,BB,2015,-1.5,0.22
7,Group 2,10,BB,2016,-0.5,0.22
9,Group 1,22,BB,2015,-1.5,0.375
9,Group 1,22,BB,2016,-0.5,0.375
11,Group 1,22,BB,2018,1.5,0.68
9,Group 1,22,BB,2015,-1.5,0.375
9,Group 1,22,BB,2016,-0.5,0.375
11,Group 1,22,BB,2018,1.5,0.6375
7,Group 1,22,BB,2015,-1.5,0.2
7,Group 1,22,BB,2016,-0.5,0.2
11,Group 1,22,BB,2018,1.5,0.68
8,Group 1,22,BB,2015,-1.5,0.28
8,Group 1,22,BB,2016,-0.5,0.28
10,Group 1,22,BB,2018,1.5,0.6
12,Group 1,22,BB,2015,-1.5,0.6825
12,Group 1,22,BB,2016,-0.5,0.6825
12,Group 1,22,BB,2018,1.5,0.76
12,Group 1,22,BB,2015,-1.5,0.6825
12,Group 1,22,BB,2016,-0.5,0.6825
12,Group 1,22,BB,2018,1.5,0.76
8,Group 1,22,BB,2015,-1.5,0.36
8,Group 1,22,BB,2016,-0.5,0.36
10,Group 1,22,BB,2018,1.5,0.64
7,Group 1,22,BB,2015,-1.5,0.24
10,Group 1,5,BB,2015,-1.5,0.486
8,Group 1,5,BB,2015,-1.5,0.225
8,Group 1,5,BB,2016,-0.5,0.225
11,Group 1,5,BB,2018,1.5,0.72
9,Group 1,5,BB,2015,-1.5,0.243
9,Group 1,5,BB,2016,-0.5,0.243
12,Group 1,5,BB,2018,1.5,0.765
9,Group 1,5,BB,2015,-1.5,0.45
9,Group 1,5,BB,2016,-0.5,0.45
12,Group 1,5,BB,2018,1.5,0.7225
10,Group 1,5,BB,2015,-1.5,0.486
10,Group 1,5,BB,2016,-0.5,0.486
11,Group 1,5,BB,2018,1.5,0.72
9,Group 1,5,BB,2015,-1.5,0.42
9,Group 1,5,BB,2016,-0.5,0.42
11,Group 1,5,BB,2018,1.5,0.68
9,Group 1,5,BB,2015,-1.5,0.42
9,Group 1,5,BB,2016,-0.5,0.42
12,Group 1,5,BB,2018,1.5,0.7225
7,Group 1,5,BB,2015,-1.5,0.18
7,Group 1,5,BB,2016,-0.5,0.18
10,Group 1,5,BB,2018,1.5,0.5625
10,Group 1,5,BB,2015,-1.5,0.405
10,Group 1,5,BB,2016,-0.5,0.405
10,Group 1,5,BB,2018,1.5,0.525
8,Group 1,5,BB,2015,-1.5,0.21
8,Group 1,5,BB,2016,-0.5,0.21
11,Group 1,5,BB,2018,1.5,0.6375
8,Group 1,5,BB,2015,-1.5,0.25
8,Group 1,5,BB,2016,-0.5,0.25
9,Group 1,5,BB,2018,1.5,0.4125
7,Group 1,5,BB,2015,-1.5,0.18
7,Group 1,5,BB,2016,-0.5,0.18
10,Group 2,10,BB,2018,1.5,0.64
8,Group 2,10,BB,2015,-1.5,0.28
8,Group 2,10,BB,2016,-0.5,0.28
10,Group 2,10,BB,2018,1.5,0.6
6,Group 2,10,BB,2015,-1.5,0.12
6,Group 2,10,BB,2016,-0.5,0.12
10,Group 2,10,BB,2018,1.5,0.56
7,Group 2,10,BB,2015,-1.5,0.24
7,Group 2,10,BB,2016,-0.5,0.24
11,Group 2,10,BB,2018,1.5,0.6375
7,Group 2,10,BB,2015,-1.5,0.24
7,Group 2,10,BB,2016,-0.5,0.24
9,Group 2,10,BB,2018,1.5,0.48
6,Group 2,10,BB,2015,-1.5,0.16
6,Group 2,10,BB,2016,-0.5,0.16
11,Group 2,10,BB,2018,1.5,0.6375
4,Group 2,10,BB,2015,-1.5,0.04
4,Group 2,10,BB,2016,-0.5,0.04
8,Group 2,10,BB,2018,1.5,0.3
8,Group 2,10,BB,2015,-1.5,0.3
8,Group 2,10,BB,2016,-0.5,0.3
11,Group 2,10,BB,2018,1.5,0.6375
5,Group 2,10,BB,2015,-1.5,0.08
5,Group 2,10,BB,2016,-0.5,0.08
10,Group 2,10,BB,2018,1.5,0.525
6,Group 2,10,BB,2015,-1.5,0.16
6,Group 2,10,BB,2016,-0.5,0.16
10,Group 2,10,BB,2018,1.5,0.64
7,Group 2,10,BB,2015,-1.5,0.24
7,Group 2,10,BB,2016,-0.5,0.24
11,Group 2,10,BB,2018,1.5,0.6375
6,Group 2,10,BB,2015,-1.5,0.1
6,Group 2,10,BB,2016,-0.5,0.1
10,Group 2,10,BB,2018,1.5,0.6
8,Group 2,10,BB,2015,-1.5,0.33
8,Group 2,10,BB,2016,-0.5,0.33
10,Group 2,10,BB,2018,1.5,0.6
8,Group 2,10,BB,2015,-1.5,0.33
8,Group 2,10,BB,2016,-0.5,0.33
11,Group 2,10,BB,2018,1.5,0.68
7,Group 2,10,BB,2015,-1.5,0.22
7,Group 2,10,BB,2016,-0.5,0.22
11,Group 2,10,BB,2018,1.5,0.6375
8,Group 2,10,BB,2015,-1.5,0.25
8,Group 2,10,BB,2016,-0.5,0.25
10,Group 2,10,BB,2018,1.5,0.6
6,Group 2,10,BB,2015,-1.5,0.16
6,Group 2,10,BB,2016,-0.5,0.16
10,Group 2,10,BB,2018,1.5,0.6
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
10,Group 5,20,RRG,2018,1.5,0.6
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
11,Group 5,20,RRG,2018,1.5,0.6375
9,Group 5,20,RRG,2015,-1.5,0.375
9,Group 5,20,RRG,2016,-0.5,0.375
11,Group 5,20,RRG,2018,1.5,0.6375
8,Group 5,20,RRG,2015,-1.5,0.21
8,Group 5,20,RRG,2016,-0.5,0.21
11,Group 5,20,RRG,2018,1.5,0.68
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
11,Group 5,20,RRG,2018,1.5,0.68
10,Group 5,20,RRG,2015,-1.5,0.486
10,Group 5,20,RRG,2016,-0.5,0.486
12,Group 5,20,RRG,2018,1.5,0.7225
9,Group 5,20,RRG,2015,-1.5,0.324
9,Group 5,20,RRG,2016,-0.5,0.324
11,Group 5,20,RRG,2018,1.5,0.72
7,Group 5,20,RRG,2015,-1.5,0.2
7,Group 5,20,RRG,2016,-0.5,0.2
10,Group 5,20,RRG,2018,1.5,0.64
8,Group 5,20,RRG,2015,-1.5,0.28
8,Group 5,20,RRG,2016,-0.5,0.28
11,Group 5,20,RRG,2018,1.5,0.6375
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
11,Group 5,20,RRG,2018,1.5,0.6375
3,Group 5,20,RRG,2015,-1.5,0.02
3,Group 5,20,RRG,2016,-0.5,0.02
9,Group 5,20,RRG,2018,1.5,0.375
11,Group 5,20,RRG,2018,1.5,0.72
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
8,Group 5,20,RRG,2015,-1.5,0.162
8,Group 5,20,RRG,2016,-0.5,0.162
11,Group 5,20,RRG,2018,1.5,0.72
6,Group 5,20,RRG,2015,-1.5,0.12
6,Group 5,20,RRG,2016,-0.5,0.12
10,Group 5,20,RRG,2018,1.5,0.5625
6,Group 5,20,RRG,2015,-1.5,0.11
6,Group 5,20,RRG,2016,-0.5,0.11
11,Group 5,20,RRG,2018,1.5,0.72
6,Group 5,20,RRG,2015,-1.5,0.1
6,Group 5,20,RRG,2016,-0.5,0.1
10,Group 5,20,RRG,2018,1.5,0.6
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
11,Group 5,20,RRG,2018,1.5,0.6375
9,Group 5,20,RRG,2015,-1.5,0.375
9,Group 5,20,RRG,2016,-0.5,0.375
11,Group 5,20,RRG,2018,1.5,0.72
7,Group 5,20,RRG,2015,-1.5,0.164
7,Group 5,20,RRG,2016,-0.5,0.164
9,Group 5,20,RRG,2018,1.5,0.45
5,Group 5,20,RRG,2015,-1.5,0.08
5,Group 5,20,RRG,2016,-0.5,0.08
9,Group 5,20,RRG,2018,1.5,0.48
2,Group 5,20,RRG,2015,-1.5,0.01
2,Group 5,20,RRG,2016,-0.5,0.01
11,Group 5,20,RRG,2018,1.5,0.6375
6,Group 5,20,RRG,2015,-1.5,0.16
6,Group 5,20,RRG,2016,-0.5,0.16
8,Group 5,20,RRG,2018,1.5,0.1875
8,Group 5,20,RRG,2015,-1.5,0.3
8,Group 5,20,RRG,2016,-0.5,0.3
11,Group 5,20,RRG,2018,1.5,0.68
12,Group 5,20,RRG,2015,-1.5,0.6561
12,Group 5,20,RRG,2016,-0.5,0.6561
13,Group 5,20,RRG,2018,1.5,0.8075
11,Group 5,20,RRG,2015,-1.5,0.567
11,Group 5,20,RRG,2016,-0.5,0.567
13,Group 5,20,RRG,2018,1.5,0.8075
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
11,Group 5,20,RRG,2018,1.5,0.595
6,Group 5,20,RRG,2015,-1.5,0.12
6,Group 5,20,RRG,2016,-0.5,0.12
11,Group 5,20,RRG,2018,1.5,0.72
7,Group 5,20,RRG,2015,-1.5,0.14
7,Group 5,20,RRG,2016,-0.5,0.14
12,Group 5,20,RRG,2018,1.5,0.76
9,Group 5,20,RRG,2015,-1.5,0.243
9,Group 5,20,RRG,2016,-0.5,0.243
12,Group 5,20,RRG,2018,1.5,0.81
7,Group 5,20,RRG,2015,-1.5,0.2
7,Group 5,20,RRG,2016,-0.5,0.2
11,Group 5,20,RRG,2018,1.5,0.72
9,Group 3,12,RRG,2015,-1.5,0.45
9,Group 3,12,RRG,2016,-0.5,0.45
11,Group 3,12,RRG,2018,1.5,0.6375
10,Group 3,12,RRG,2015,-1.5,0.49
10,Group 3,12,RRG,2016,-0.5,0.49
10,Group 3,12,RRG,2018,1.5,0.6
12,Group 3,12,RRG,2015,-1.5,0.6561
12,Group 3,12,RRG,2016,-0.5,0.6561
11,Group 3,12,RRG,2018,1.5,0.72
6,Group 3,12,RRG,2015,-1.5,0.12
6,Group 3,12,RRG,2016,-0.5,0.12
11,Group 3,12,RRG,2018,1.5,0.595
8,Group 3,12,RRG,2015,-1.5,0.21
8,Group 3,12,RRG,2016,-0.5,0.21
11,Group 3,12,RRG,2018,1.5,0.68
11,Group 3,12,RRG,2015,-1.5,0.6075
11,Group 3,12,RRG,2016,-0.5,0.6075
11,Group 3,12,RRG,2018,1.5,0.68
13,Group 3,12,RRG,2015,-1.5,0.7371
13,Group 3,12,RRG,2016,-0.5,0.7371
11,Group 3,12,RRG,2018,1.5,0.68
10,Group 3,12,RRG,2015,-1.5,0.486
10,Group 3,12,RRG,2016,-0.5,0.486
10,Group 3,12,RRG,2018,1.5,0.6
11,Group 3,12,RRG,2015,-1.5,0.567
11,Group 3,12,RRG,2016,-0.5,0.567
11,Group 3,12,RRG,2018,1.5,0.68
7,Group 3,12,RRG,2015,-1.5,0.2
