mTCI,HydroGp,Transect,Species,Year,medYear,time,TCI
0.595,Group 5,17,RRG,2016,2016.5,-0.5,11
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.51,Group 5,17,RRG,2015,2016.5,-1.5,10
0.51,Group 5,17,RRG,2016,2016.5,-0.5,10
0.675,Group 5,17,RRG,2018,2016.5,1.5,11
0.7735,Group 5,17,RRG,2015,2016.5,-1.5,13
0.7735,Group 5,17,RRG,2016,2016.5,-0.5,13
0.665,Group 5,17,RRG,2018,2016.5,1.5,12
0.7225,Group 5,17,RRG,2015,2016.5,-1.5,12
0.728,Group 2,16,RRG,2016,2016.5,-0.5,12
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.728,Group 2,16,RRG,2015,2016.5,-1.5,12
0.567,Group 2,16,RRG,2016,2016.5,-0.5,11
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.567,Group 2,16,RRG,2015,2016.5,-1.5,11
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.06,Group 2,16,RRG,2016,2016.5,-0.5,5
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.06,Group 2,16,RRG,2015,2016.5,-1.5,5
0.225,Group 2,16,RRG,2016,2016.5,-0.5,8
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.225,Group 2,16,RRG,2015,2016.5,-1.5,8
0.225,Group 2,16,RRG,2016,2016.5,-0.5,8
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.225,Group 2,16,RRG,2015,2016.5,-1.5,8
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.12,Group 2,16,RRG,2016,2016.5,-0.5,6
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.12,Group 2,16,RRG,2015,2016.5,-1.5,6
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.63,Group 2,16,RRG,2018,2016.5,1.5,11
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.486,Group 2,16,RRG,2016,2016.5,-0.5,10
0.76,Group 2,16,RRG,2018,2016.5,1.5,12
0.486,Group 2,16,RRG,2015,2016.5,-1.5,10
0.3,Group 2,16,RRG,2016,2016.5,-0.5,8
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.3,Group 2,16,RRG,2015,2016.5,-1.5,8
0.567,Group 2,16,RRG,2016,2016.5,-0.5,11
0.76,Group 2,16,RRG,2018,2016.5,1.5,12
0.567,Group 2,16,RRG,2015,2016.5,-1.5,11
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.06,Group 2,16,RRG,2016,2016.5,-0.5,5
0.72,Group 2,16,RRG,2018,2016.5,1.5,11
0.06,Group 2,16,RRG,2015,2016.5,-1.5,5
0.015,Group 2,16,RRG,2016,2016.5,-0.5,3
0.5525,Group 2,16,RRG,2018,2016.5,1.5,11
0.015,Group 2,16,RRG,2015,2016.5,-1.5,3
0.03,Group 2,16,RRG,2016,2016.5,-0.5,4
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.03,Group 2,16,RRG,2015,2016.5,-1.5,4
0.6,Group 2,16,RRG,2016,2016.5,-0.5,10
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.6,Group 2,16,RRG,2015,2016.5,-1.5,10
0.35,Group 2,16,RRG,2016,2016.5,-0.5,9
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.35,Group 2,16,RRG,2015,2016.5,-1.5,9
0.06,Group 2,16,RRG,2016,2016.5,-0.5,5
0.475,Group 2,16,RRG,2018,2016.5,1.5,11
0.06,Group 2,16,RRG,2015,2016.5,-1.5,5
0.35,Group 2,16,RRG,2016,2016.5,-0.5,9
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.35,Group 2,16,RRG,2015,2016.5,-1.5,9
0.15,Group 2,16,RRG,2016,2016.5,-0.5,7
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.15,Group 2,16,RRG,2015,2016.5,-1.5,7
0.06,Group 2,16,RRG,2016,2016.5,-0.5,5
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.06,Group 2,16,RRG,2015,2016.5,-1.5,5
0.195,Group 2,16,RRG,2016,2016.5,-0.5,8
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.195,Group 2,16,RRG,2015,2016.5,-1.5,8
0.68,Group 2,16,RRG,2018,2016.5,1.5,11
0.13,Group 2,16,RRG,2016,2016.5,-0.5,7
0.13,Group 2,16,RRG,2015,2016.5,-1.5,7
0.195,Group 2,16,RRG,2016,2016.5,-0.5,8
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.195,Group 2,16,RRG,2015,2016.5,-1.5,8
0.32,Group 2,16,RRG,2016,2016.5,-0.5,8
0.6375,Group 2,16,RRG,2018,2016.5,1.5,11
0.32,Group 2,16,RRG,2015,2016.5,-1.5,8
0.005,Group 2,16,RRG,2016,2016.5,-0.5,2
0.4125,Group 2,16,RRG,2018,2016.5,1.5,9
0.005,Group 2,16,RRG,2015,2016.5,-1.5,2
0.3825,Group 2,16,RRG,2016,2016.5,-0.5,10
0.54,Group 2,16,RRG,2018,2016.5,1.5,10
0.3825,Group 2,16,RRG,2015,2016.5,-1.5,10
0.3375,Group 2,16,RRG,2016,2016.5,-0.5,9
0.8075,Group 2,16,RRG,2018,2016.5,1.5,13
0.3375,Group 2,16,RRG,2015,2016.5,-1.5,9
0.1,Group 2,16,RRG,2016,2016.5,-0.5,6
0.56,Group 2,16,RRG,2018,2016.5,1.5,10
0.1,Group 2,16,RRG,2015,2016.5,-1.5,6
0.61,Group 5,17,RRG,2016,2016.5,-0.5,12
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.61,Group 5,17,RRG,2015,2016.5,-1.5,12
0.7735,Group 5,17,RRG,2015,2016.5,-1.5,13
0.7735,Group 5,17,RRG,2016,2016.5,-0.5,13
0.76,Group 5,17,RRG,2018,2016.5,1.5,12
0.7,Group 5,17,RRG,2016,2016.5,-0.5,12
0.63,Group 5,17,RRG,2018,2016.5,1.5,11
0.7,Group 5,17,RRG,2015,2016.5,-1.5,12
0.7371,Group 5,17,RRG,2015,2016.5,-1.5,13
0.7371,Group 5,17,RRG,2016,2016.5,-0.5,13
0.75,Group 5,17,RRG,2018,2016.5,1.5,12
0.427,Group 5,17,RRG,2015,2016.5,-1.5,10
0.427,Group 5,17,RRG,2016,2016.5,-0.5,10
0.765,Group 5,17,RRG,2018,2016.5,1.5,12
0.49,Group 5,17,RRG,2015,2016.5,-1.5,10
0.49,Group 5,17,RRG,2016,2016.5,-0.5,10
0.765,Group 5,17,RRG,2018,2016.5,1.5,12
0.7225,Group 5,17,RRG,2015,2016.5,-1.5,12
0.7225,Group 5,17,RRG,2016,2016.5,-0.5,12
0.7225,Group 5,17,RRG,2018,2016.5,1.5,12
0.72,Group 5,17,RRG,2018,2016.5,1.5,11
0.6561,Group 5,17,RRG,2015,2016.5,-1.5,12
0.6561,Group 5,17,RRG,2016,2016.5,-0.5,12
0.4941,Group 5,17,RRG,2015,2016.5,-1.5,11
0.4941,Group 5,17,RRG,2016,2016.5,-0.5,11
0.6375,Group 5,17,RRG,2018,2016.5,1.5,11
0.4,Group 5,17,RRG,2015,2016.5,-1.5,9
0.4,Group 5,17,RRG,2016,2016.5,-0.5,9
0.3575,Group 5,17,RRG,2018,2016.5,1.5,9
0.7225,Group 5,17,RRG,2015,2016.5,-1.5,12
0.7225,Group 5,17,RRG,2016,2016.5,-0.5,12
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.08,Group 5,17,RRG,2015,2016.5,-1.5,8
0.08,Group 5,17,RRG,2016,2016.5,-0.5,8
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.637,Group 5,17,RRG,2015,2016.5,-1.5,12
0.637,Group 5,17,RRG,2016,2016.5,-0.5,12
0.75,Group 5,17,RRG,2018,2016.5,1.5,12
0.637,Group 5,17,RRG,2015,2016.5,-1.5,12
0.637,Group 5,17,RRG,2016,2016.5,-0.5,12
0.665,Group 5,17,RRG,2018,2016.5,1.5,12
0.51,Group 5,17,RRG,2015,2016.5,-1.5,10
0.51,Group 5,17,RRG,2016,2016.5,-0.5,10
0.665,Group 5,17,RRG,2018,2016.5,1.5,12
0.7735,Group 5,17,RRG,2015,2016.5,-1.5,13
0.7735,Group 5,17,RRG,2016,2016.5,-0.5,13
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.637,Group 5,17,RRG,2015,2016.5,-1.5,12
0.637,Group 5,17,RRG,2016,2016.5,-0.5,12
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.405,Group 5,17,RRG,2015,2016.5,-1.5,10
0.405,Group 5,17,RRG,2016,2016.5,-0.5,10
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.405,Group 5,17,RRG,2015,2016.5,-1.5,10
0.405,Group 5,17,RRG,2016,2016.5,-0.5,10
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.405,Group 5,17,RRG,2015,2016.5,-1.5,10
0.405,Group 5,17,RRG,2016,2016.5,-0.5,10
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.648,Group 5,17,RRG,2015,2016.5,-1.5,11
0.648,Group 5,17,RRG,2016,2016.5,-0.5,11
0.76,Group 5,17,RRG,2018,2016.5,1.5,12
0.56,Group 5,17,RRG,2015,2016.5,-1.5,10
0.56,Group 5,17,RRG,2016,2016.5,-0.5,10
0.675,Group 5,17,RRG,2018,2016.5,1.5,11
0.56,Group 5,17,RRG,2015,2016.5,-1.5,10
0.56,Group 5,17,RRG,2016,2016.5,-0.5,10
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.42,Group 5,17,RRG,2015,2016.5,-1.5,9
0.42,Group 5,17,RRG,2016,2016.5,-0.5,9
0.675,Group 5,17,RRG,2018,2016.5,1.5,11
0.63,Group 5,17,RRG,2015,2016.5,-1.5,11
0.63,Group 5,17,RRG,2016,2016.5,-0.5,11
0.495,Group 5,17,RRG,2018,2016.5,1.5,10
0.5915,Group 5,17,RRG,2015,2016.5,-1.5,12
0.5915,Group 5,17,RRG,2016,2016.5,-0.5,12
0.76,Group 5,17,RRG,2018,2016.5,1.5,12
0.595,Group 5,17,RRG,2015,2016.5,-1.5,11
0.7225,Group 5,17,RRG,2016,2016.5,-0.5,12
0.76,Group 5,17,RRG,2018,2016.5,1.5,12
0.525,Group 2,19,BB,2015,2016.5,-1.5,10
0.525,Group 2,19,BB,2016,2016.5,-0.5,10
0.675,Group 2,19,BB,2018,2016.5,1.5,11
0.015,Group 2,19,BB,2015,2016.5,-1.5,3
0.015,Group 2,19,BB,2016,2016.5,-0.5,3
0.0325,Group 2,19,BB,2018,2016.5,1.5,6
0.36,Group 2,19,BB,2015,2016.5,-1.5,8
0.36,Group 2,19,BB,2016,2016.5,-0.5,8
0.06,Group 1,2,BB,2015,2016.5,-1.5,5
0.06,Group 1,2,BB,2016,2016.5,-0.5,5
0.6,Group 1,2,BB,2018,2016.5,1.5,10
0.36,Group 1,2,BB,2015,2016.5,-1.5,8
0.36,Group 1,2,BB,2016,2016.5,-0.5,8
0.35,Group 1,2,BB,2015,2016.5,-1.5,9
0.35,Group 1,2,BB,2016,2016.5,-0.5,9
0.7225,Group 1,2,BB,2018,2016.5,1.5,12
0.546,Group 1,2,BB,2015,2016.5,-1.5,11
0.546,Group 1,2,BB,2016,2016.5,-0.5,11
0.76,Group 1,2,BB,2018,2016.5,1.5,12
0.15,Group 1,2,BB,2015,2016.5,-1.5,7
0.15,Group 1,2,BB,2016,2016.5,-0.5,7
0.56,Group 1,2,BB,2018,2016.5,1.5,10
0.2,Group 1,2,BB,2015,2016.5,-1.5,7
0.2,Group 1,2,BB,2016,2016.5,-0.5,7
0.64,Group 1,2,BB,2018,2016.5,1.5,10
0.0025,Group 2,3,Cooba,2015,2016.5,-1.5,2
0.0025,Group 2,3,Cooba,2016,2016.5,-0.5,2
0.015,Group 2,3,Cooba,2018,2016.5,1.5,4
0.6825,Group 2,3,Cooba,2015,2016.5,-1.5,12
0.6825,Group 2,3,Cooba,2016,2016.5,-0.5,12
0.57,Group 2,3,Cooba,2018,2016.5,1.5,11
0.364,Group 2,3,Cooba,2015,2016.5,-1.5,10
0.364,Group 2,3,Cooba,2016,2016.5,-0.5,10
0.45,Group 2,3,Cooba,2018,2016.5,1.5,10
0.4,Group 2,3,Cooba,2018,2016.5,1.5,9
0.455,Group 2,3,Cooba,2015,2016.5,-1.5,11
0.455,Group 2,3,Cooba,2016,2016.5,-0.5,11
0.7371,Group 2,3,Cooba,2015,2016.5,-1.5,13
0.7371,Group 2,3,Cooba,2016,2016.5,-0.5,13
0.54,Group 2,3,Cooba,2018,2016.5,1.5,10
0.6,Group 3,7,BB,2018,2016.5,1.5,10
0.25,Group 3,7,BB,2015,2016.5,-1.5,8
0.25,Group 3,7,BB,2016,2016.5,-0.5,8
0.68,Group 3,7,BB,2018,2016.5,1.5,11
0.6075,Group 3,7,BB,2015,2016.5,-1.5,11
0.6075,Group 3,7,BB,2016,2016.5,-0.5,11
0.5625,Group 3,7,BB,2018,2016.5,1.5,10
0.525,Group 3,7,BB,2015,2016.5,-1.5,10
0.525,Group 3,7,BB,2016,2016.5,-0.5,10
0.76,Group 3,7,BB,2018,2016.5,1.5,12
0.42,Group 3,7,BB,2015,2016.5,-1.5,9
0.42,Group 3,7,BB,2016,2016.5,-0.5,9
0.72,Group 3,7,BB,2018,2016.5,1.5,11
0.42,Group 3,7,BB,2015,2016.5,-1.5,9
0.42,Group 3,7,BB,2016,2016.5,-0.5,9
0.7225,Group 3,7,BB,2018,2016.5,1.5,12
0.567,Group 3,7,BB,2015,2016.5,-1.5,11
0.567,Group 3,7,BB,2016,2016.5,-0.5,11
0.72,Group 3,7,BB,2018,2016.5,1.5,11
0.24,Group 3,7,BB,2016,2016.5,-0.5,7
0.36,Group 2,10,BB,2015,2016.5,-1.5,8
0.36,Group 2,10,BB,2016,2016.5,-0.5,8
0.5625,Group 2,10,BB,2018,2016.5,1.5,10
0.2,Group 2,10,BB,2015,2016.5,-1.5,7
0.2,Group 2,10,BB,2016,2016.5,-0.5,7
0.4125,Group 2,10,BB,2018,2016.5,1.5,9
0.12,Group 2,10,BB,2015,2016.5,-1.5,6
0.12,Group 2,10,BB,2016,2016.5,-0.5,6
0.49,Group 2,10,BB,2018,2016.5,1.5,10
0.3,Group 2,10,BB,2015,2016.5,-1.5,8
0.3,Group 2,10,BB,2016,2016.5,-0.5,8
0.5625,Group 2,10,BB,2018,2016.5,1.5,10
0.14,Group 2,10,BB,2015,2016.5,-1.5,7
0.14,Group 2,10,BB,2016,2016.5,-0.5,7
0.5625,Group 2,10,BB,2018,2016.5,1.5,10
0.35,Group 2,10,BB,2015,2016.5,-1.5,9
0.35,Group 2,10,BB,2016,2016.5,-0.5,9
0.56,Group 2,10,BB,2018,2016.5,1.5,10
0.24,Group 2,10,BB,2015,2016.5,-1.5,7
0.6,Group 2,19,BB,2018,2016.5,1.5,10
0.525,Group 2,19,BB,2015,2016.5,-1.5,10
0.525,Group 2,19,BB,2016,2016.5,-0.5,10
0.64,Group 2,19,BB,2018,2016.5,1.5,10
0.52,Group 2,19,BB,2015,2016.5,-1.5,10
0.52,Group 2,19,BB,2016,2016.5,-0.5,10
0.7225,Group 2,19,BB,2018,2016.5,1.5,12
0.1681,Group 2,19,BB,2015,2016.5,-1.5,8
0.1681,Group 2,19,BB,2016,2016.5,-0.5,8
0.6,Group 2,19,BB,2018,2016.5,1.5,10
0.525,Group 2,19,BB,2015,2016.5,-1.5,10
0.525,Group 2,19,BB,2016,2016.5,-0.5,10
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.525,Group 2,19,BB,2015,2016.5,-1.5,10
0.525,Group 2,19,BB,2016,2016.5,-0.5,10
0.6,Group 2,19,BB,2018,2016.5,1.5,10
0.42,Group 2,19,BB,2015,2016.5,-1.5,9
0.42,Group 2,19,BB,2016,2016.5,-0.5,9
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.7225,Group 2,19,BB,2018,2016.5,1.5,12
0.595,Group 2,19,BB,2015,2016.5,-1.5,11
0.595,Group 2,19,BB,2016,2016.5,-0.5,11
0.5265,Group 2,19,BB,2015,2016.5,-1.5,11
0.5265,Group 2,19,BB,2016,2016.5,-0.5,11
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.525,Group 2,19,BB,2015,2016.5,-1.5,10
0.525,Group 2,19,BB,2016,2016.5,-0.5,10
0.6,Group 2,19,BB,2018,2016.5,1.5,10
0.49,Group 2,19,BB,2015,2016.5,-1.5,10
0.49,Group 2,19,BB,2016,2016.5,-0.5,10
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.05,Group 2,19,BB,2015,2016.5,-1.5,5
0.05,Group 2,19,BB,2016,2016.5,-0.5,5
0.4675,Group 2,19,BB,2018,2016.5,1.5,10
0.18,Group 2,19,BB,2015,2016.5,-1.5,7
0.18,Group 2,19,BB,2016,2016.5,-0.5,7
0.5625,Group 2,19,BB,2018,2016.5,1.5,10
0.06,Group 2,19,BB,2015,2016.5,-1.5,5
0.06,Group 2,19,BB,2016,2016.5,-0.5,5
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.09,Group 2,19,BB,2015,2016.5,-1.5,6
0.09,Group 2,19,BB,2016,2016.5,-0.5,6
0.4,Group 2,19,BB,2018,2016.5,1.5,9
0.09,Group 2,19,BB,2015,2016.5,-1.5,6
0.09,Group 2,19,BB,2016,2016.5,-0.5,6
0.56,Group 2,19,BB,2018,2016.5,1.5,10
0.18,Group 2,19,BB,2015,2016.5,-1.5,7
0.18,Group 2,19,BB,2016,2016.5,-0.5,7
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.3,Group 2,19,BB,2015,2016.5,-1.5,8
0.3,Group 2,19,BB,2016,2016.5,-0.5,8
0.6,Group 2,19,BB,2018,2016.5,1.5,10
0.205,Group 2,19,BB,2015,2016.5,-1.5,8
0.205,Group 2,19,BB,2016,2016.5,-0.5,8
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.09,Group 2,19,BB,2015,2016.5,-1.5,6
0.09,Group 2,19,BB,2016,2016.5,-0.5,6
0.56,Group 2,19,BB,2018,2016.5,1.5,10
0.12,Group 2,19,BB,2015,2016.5,-1.5,6
0.12,Group 2,19,BB,2016,2016.5,-0.5,6
0.675,Group 2,19,BB,2018,2016.5,1.5,11
0.18,Group 2,19,BB,2015,2016.5,-1.5,7
0.18,Group 2,19,BB,2016,2016.5,-0.5,7
0.675,Group 2,19,BB,2018,2016.5,1.5,11
0.15,Group 2,19,BB,2015,2016.5,-1.5,7
0.15,Group 2,19,BB,2016,2016.5,-0.5,7
0.6375,Group 2,19,BB,2018,2016.5,1.5,11
0.205,Group 2,19,BB,2015,2016.5,-1.5,8
0.205,Group 2,19,BB,2016,2016.5,-0.5,8
0.68,Group 2,19,BB,2018,2016.5,1.5,11
0.3721,Group 2,19,BB,2015,2016.5,-1.5,10
0.3721,Group 2,19,BB,2016,2016.5,-0.5,10
0.7225,Group 2,19,BB,2018,2016.5,1.5,12
0.12,Group 2,19,BB,2015,2016.5,-1.5,6
0.12,Group 2,19,BB,2016,2016.5,-0.5,6
0.6,Group 2,19,BB,2018,2016.5,1.5,10
0.18,Group 2,19,BB,2015,2016.5,-1.5,7
0.18,Group 2,19,BB,2016,2016.5,-0.5,7
0.6,Group 2,19,BB,2018,2016.5,1.5,10
0.09,Group 2,19,BB,2015,2016.5,-1.5,6
0.09,Group 2,19,BB,2016,2016.5,-0.5,6
0.5625,Group 2,19,BB,2018,2016.5,1.5,10
0.91,Group 5,18,RRG,2015,2016.5,-1.5,14
0.91,Group 5,18,RRG,2016,2016.5,-0.5,14
0.5,Group 5,18,RRG,2015,2016.5,-1.5,11
0.5,Group 5,18,RRG,2016,2016.5,-0.5,11
0.637,Group 5,18,RRG,2015,2016.5,-1.5,12
0.637,Group 5,18,RRG,2016,2016.5,-0.5,12
0.63,Group 5,18,RRG,2018,2016.5,1.5,11
0.665,Group 5,18,RRG,2018,2016.5,1.5,12
0.91,Group 5,18,RRG,2015,2016.5,-1.5,14
0.91,Group 5,18,RRG,2016,2016.5,-0.5,14
0.91,Group 5,18,RRG,2015,2016.5,-1.5,14
0.91,Group 5,18,RRG,2016,2016.5,-0.5,14
0.7225,Group 5,18,RRG,2018,2016.5,1.5,12
0.81,Group 5,18,RRG,2015,2016.5,-1.5,13
0.81,Group 5,18,RRG,2016,2016.5,-0.5,13
0.7371,Group 5,18,RRG,2015,2016.5,-1.5,13
0.7371,Group 5,18,RRG,2016,2016.5,-0.5,13
0.8,Group 5,18,RRG,2018,2016.5,1.5,12
0.9,Group 5,18,RRG,2015,2016.5,-1.5,13
0.9,Group 5,18,RRG,2016,2016.5,-0.5,13
0.3,Group 5,18,RRG,2018,2016.5,1.5,8
0.81,Group 5,18,RRG,2015,2016.5,-1.5,13
0.81,Group 5,18,RRG,2016,2016.5,-0.5,13
0.76,Group 5,18,RRG,2018,2016.5,1.5,12
0.81,Group 5,18,RRG,2015,2016.5,-1.5,13
0.81,Group 5,18,RRG,2016,2016.5,-0.5,13
0.35,Group 5,18,RRG,2018,2016.5,1.5,9
0.7371,Group 5,18,RRG,2015,2016.5,-1.5,13
0.7371,Group 5,18,RRG,2016,2016.5,-0.5,13
0.7125,Group 5,18,RRG,2018,2016.5,1.5,12
0.7371,Group 5,18,RRG,2015,2016.5,-1.5,13
0.7371,Group 5,18,RRG,2016,2016.5,-0.5,13
0.675,Group 5,18,RRG,2018,2016.5,1.5,11
0.7371,Group 5,18,RRG,2015,2016.5,-1.5,13
0.7371,Group 5,18,RRG,2016,2016.5,-0.5,13
0.665,Group 5,18,RRG,2018,2016.5,1.5,12
0.7371,Group 5,18,RRG,2015,2016.5,-1.5,13
0.7371,Group 5,18,RRG,2016,2016.5,-0.5,13
0.665,Group 5,18,RRG,2018,2016.5,1.5,12
0.546,Group 5,18,RRG,2015,2016.5,-1.5,11
0.546,Group 5,18,RRG,2016,2016.5,-0.5,11
0.7125,Group 5,18,RRG,2018,2016.5,1.5,12
0.637,Group 5,18,RRG,2015,2016.5,-1.5,12
0.637,Group 5,18,RRG,2016,2016.5,-0.5,12
0.675,Group 5,18,RRG,2018,2016.5,1.5,11
0.6825,Group 5,18,RRG,2015,2016.5,-1.5,12
0.6825,Group 5,18,RRG,2016,2016.5,-0.5,12
0.7125,Group 5,18,RRG,2018,2016.5,1.5,12
0.9,Group 5,18,RRG,2015,2016.5,-1.5,13
0.9,Group 5,18,RRG,2016,2016.5,-0.5,13
0.665,Group 5,18,RRG,2018,2016.5,1.5,12
0.63,Group 5,18,RRG,2016,2016.5,-0.5,11
0.49,Group 5,18,RRG,2018,2016.5,1.5,10
0.63,Group 5,18,RRG,2015,2016.5,-1.5,11
0.36,Group 5,18,RRG,2015,2016.5,-1.5,8
0.36,Group 5,18,RRG,2016,2016.5,-0.5,8
0.8075,Group 5,18,RRG,2018,2016.5,1.5,13
0.637,Group 5,18,RRG,2015,2016.5,-1.5,12
0.637,Group 5,18,RRG,2016,2016.5,-0.5,12
0.7225,Group 5,18,RRG,2018,2016.5,1.5,12
0.8281,Group 5,18,RRG,2015,2016.5,-1.5,14
0.8281,Group 5,18,RRG,2016,2016.5,-0.5,14
0.72,Group 5,18,RRG,2018,2016.5,1.5,11
0.675,Group 5,18,RRG,2015,2016.5,-1.5,11
0.675,Group 5,18,RRG,2016,2016.5,-0.5,11
0.7125,Group 5,18,RRG,2018,2016.5,1.5,12
0.819,Group 5,18,RRG,2015,2016.5,-1.5,13
0.819,Group 5,18,RRG,2016,2016.5,-0.5,13
0.63,Group 5,18,RRG,2015,2016.5,-1.5,11
0.63,Group 5,18,RRG,2016,2016.5,-0.5,11
0.76,Group 5,18,RRG,2018,2016.5,1.5,12
0.45,Group 5,18,RRG,2015,2016.5,-1.5,10
0.45,Group 5,18,RRG,2016,2016.5,-0.5,10
0.665,Group 5,18,RRG,2018,2016.5,1.5,12
0.675,Group 5,18,RRG,2015,2016.5,-1.5,11
0.675,Group 5,18,RRG,2016,2016.5,-0.5,11
0.7125,Group 5,18,RRG,2018,2016.5,1.5,12
0.164,Group 5,18,RRG,2015,2016.5,-1.5,7
0.164,Group 5,18,RRG,2016,2016.5,-0.5,7
0.51,Group 5,18,RRG,2018,2016.5,1.5,10
0.49,Group 5,18,RRG,2015,2016.5,-1.5,10
0.49,Group 5,18,RRG,2016,2016.5,-0.5,10
0.64,Group 5,18,RRG,2018,2016.5,1.5,10
0.6075,Group 5,18,RRG,2015,2016.5,-1.5,11
